transaction_id,date,description,amount
LED0059,2026-07-08,Salary payout,64233.84
LED0060,2026-08-23,Salary payout,-18871.2
LED0061,2026-07-16,AWS invoice,73103.43
LED0062,2026-07-06,Client payment received,13178.76
LED0063,2026-07-05,AWS invoice,49558.48
LED0064,2026-07-09,Client payment received,11786.71
LED0065,2026-08-05,Vendor payment,-15542.64
LED0066,2026-08-25,AWS invoice,5007.93
LED0067,2026-07-14,AWS invoice,48184.48
LED0068,2026-08-14,Vendor payment,42683.37
LED0069,2026-07-26,Client payment received,34484.15
LED0070,2026-07-29,AWS invoice,8693.2
LED0071,2026-07-16,Vendor payment,-41676.63
LED0072,2026-07-02,AWS invoice,22009.8
LED0073,2026-08-07,Vendor payment,-49065.19
LED0074,2026-08-15,Client payment received,-42346.41
LED0075,2026-07-05,Gonzales and Sons,61752.6
LED0076,2026-07-05,AWS invoice,-19059.4
LED0077,2026-08-12,Office rent,-22149.22
LED0078,2026-07-09,Client payment received,71616.85
LED0079,2026-08-06,AWS invoice,11447.23
LED0080,2026-08-20,Office rent,54974.61
LED0081,2026-07-13,"Huff, Johnson and Fuller",-37398.99
LED0082,2026-07-28,Salary payout,5065.22
LED0083,2026-07-30,Client payment received,-42957.75
LED0084,2026-08-11,Client payment received,-37205.68
LED0085,2026-07-26,Client payment received,-5890.66
LED0086,2026-08-25,Singh Inc,-17674.68
LED0087,2026-07-13,AWS invoice,8319.76
LED0088,2026-07-28,Vendor payment,-13789.13
LED0089,2026-07-16,Bennett-Fernandez,7607.0
LED0090,2026-08-25,AWS invoice,-37271.87
LED0091,2026-08-11,AWS invoice,58683.59
LED0092,2026-07-06,Vendor payment,-28379.56
LED0093,2026-08-01,Office rent,-22212.85
LED0094,2026-07-26,"Clark, Bass and Liu",-28597.17
LED0095,2026-07-01,Office rent,-15523.6
LED0096,2026-08-20,Office rent,-12917.6
LED0097,2026-08-14,Client payment received,79404.95
LED0098,2026-08-05,Client payment received,43393.08
LED0099,2026-07-10,Vendor payment,-11427.98
LED0100,2026-07-04,AWS invoice,45645.83
LED0101,2026-07-04,Client payment received,-9231.37
LED0102,2026-07-04,AWS invoice,11982.51
LED0103,2026-08-28,AWS invoice,-29533.75
LED0104,2026-08-02,Mccoy LLC,60674.53
LED0105,2026-07-05,AWS invoice,-41165.09
LED0106,2026-08-25,Vendor payment,2490.82
LED0107,2026-08-30,AWS invoice,-17992.0
LED0108,2026-08-08,Garcia Inc,30519.6
LED0109,2026-07-27,Client payment received,25877.4
LED0110,2026-08-03,Salary payout,71511.81
LED0111,2026-07-14,Client payment received,43104.93
LED0112,2026-07-16,Salary payout,1452.16
LED0113,2026-08-12,Client payment received,-11000.38
LED0114,2026-07-21,"Carey, Willis and Arroyo",-48788.99
LED0115,2026-08-09,AWS invoice,79492.54
LED0116,2026-07-05,AWS invoice,-22289.94
LED0117,2026-07-17,Vendor payment,71323.72
LED0118,2026-08-26,Morales-Young,64305.13
LED0119,2026-07-24,Salary payout,-29492.91
LED0120,2026-08-23,AWS invoice,41460.19
LED0121,2026-08-09,Client payment received,18762.29
LED0122,2026-08-12,AWS invoice,-11080.76
LED0123,2026-08-12,"Miller, Williams and Schroeder",72060.9
LED0124,2026-07-09,Salary payout,-34994.27
LED0125,2026-07-07,Client payment received,21919.07
LED0126,2026-07-18,Salary payout,28627.88
LED0127,2026-08-15,Salary payout,-23532.35
LED0128,2026-08-10,Salary payout,15703.18
LED0129,2026-07-17,Good LLC,-38001.2
LED0130,2026-07-28,Salary payout,-44268.72
LED0131,2026-07-22,Vendor payment,32824.74
LED0132,2026-07-17,Vendor payment,46360.02
LED0133,2026-08-05,Client payment received,5599.3
LED0134,2026-07-01,Wilson PLC,-40218.3
LED0135,2026-08-26,Client payment received,67510.71
LED0136,2026-08-04,"Rodriguez, Shaw and Ruiz",58497.35
LED0137,2026-08-07,AWS invoice,-30747.81
LED0138,2026-07-09,Henderson Inc,-9926.41
LED0139,2026-08-27,Koch-Holden,66860.2
LED0140,2026-07-14,Client payment received,-17561.13
LED0141,2026-07-07,Salary payout,51415.11
LED0142,2026-08-26,Office rent,76598.81
LED0143,2026-08-17,Vendor payment,70349.3
LED0144,2026-07-16,Vendor payment,76906.78
LED0145,2026-08-21,Vendor payment,64584.11
LED0146,2026-07-02,Vendor payment,45753.38
LED0147,2026-07-22,Office rent,54290.57
LED0148,2026-08-25,Client payment received,55397.41
LED0149,2026-07-18,Vendor payment,52358.69
LED0150,2026-07-07,Office rent,63381.68
LED0151,2026-08-24,Office rent,-21083.62
LED0152,2026-08-22,Office rent,-4544.4
LED0153,2026-08-22,Vendor payment,-21019.94
LED0154,2026-08-12,Vendor payment,1800.58
LED0155,2026-07-18,Bernard-Boyer,75695.58
LED0156,2026-07-18,Salary payout,33392.63
LED0157,2026-07-26,Client payment received,77549.46
LED0158,2026-08-04,Salary payout,72100.83
LED0159,2026-07-08,Salary payout,-26786.18
LED0160,2026-07-17,Brown Ltd,-35907.67
LED0161,2026-07-28,Salary payout,44710.86
LED0162,2026-07-21,Office rent,28807.15
LED0163,2026-08-02,"Jacobson, Monroe and Crane",75.41
LED0164,2026-08-06,Vendor payment,-16886.07
LED0165,2026-08-15,Office rent,-49780.13
LED0166,2026-08-29,AWS invoice,39291.43
LED0167,2026-08-30,Client payment received,45814.9
LED0168,2026-07-13,Salary payout,6068.66
LED0169,2026-08-30,Client payment received,69700.21
LED0170,2026-08-09,Salary payout,36240.37
LED0171,2026-07-08,Client payment received,67006.09
LED0172,2026-08-02,Salary payout,36696.08
LED0173,2026-07-21,Office rent,40637.09
LED0174,2026-08-05,Vendor payment,-25060.79
LED0175,2026-08-12,Office rent,38051.33
LED0176,2026-08-27,Vendor payment,30016.94
LED0177,2026-07-20,Office rent,21231.84
LED0178,2026-07-01,Salary payout,-12701.22
LED0179,2026-07-28,AWS invoice,28866.0
LED0180,2026-07-21,Office rent,7432.18
LED0181,2026-08-13,Vendor payment,16452.62
LED0182,2026-08-20,Client payment received,-27940.12
LED0183,2026-07-06,Salary payout,17008.76
LED0184,2026-08-10,AWS invoice,-6425.53
LED0185,2026-08-22,Vendor payment,37463.44
LED0186,2026-07-15,Vendor payment,-30843.98
LED0187,2026-07-03,Vendor payment,77911.68
LED0188,2026-08-09,Brown Group,9204.1
LED0189,2026-08-26,Client payment received,24837.22
LED0190,2026-08-15,Client payment received,-82.8
LED0191,2026-07-26,Vendor payment,-30815.73
LED0192,2026-08-14,Bender-Smith,66045.78
LED0193,2026-08-25,"Davis, Barker and Cole",51194.65
LED0194,2026-07-15,Vendor payment,54534.28
LED0195,2026-08-14,AWS invoice,10391.48
LED0196,2026-08-05,Vendor payment,69271.1
LED0197,2026-07-08,Office rent,-32665.92
LED0198,2026-07-30,Client payment received,19047.15
LED0199,2026-08-05,AWS invoice,-8751.27
