transaction_id,date,description,amount,bank_ref
LED0185,2026-08-22,Vendor payment,37463.44,BNK96223
LED0186,2026-07-15,Vendor payment,-30843.98,BNK50499
LED0187,2026-07-03,Vendor payment,77911.68,BNK28776
LED0188,2026-08-09,Brown Group,9204.1,BNK92991
LED0189,2026-08-26,Client payment received,24837.22,BNK59308
LED0190,2026-08-15,Client payment received,-82.8,BNK52517
LED0191,2026-07-26,Vendor payment,-30815.73,BNK16895
LED0193,2026-08-25,"Davis, Barker and Cole",51194.65,BNK68079
LED0194,2026-07-15,Vendor payment,54534.28,BNK45804
LED0195,2026-08-14,AWS invoice,10391.48,BNK24534
LED0196,2026-08-05,Vendor payment,69271.1,BNK97442
LED0197,2026-07-10,Office rent,-32665.92,BNK17180
LED0198,2026-07-30,Client payment received,19047.15,BNK43491
LED0199,2026-08-05,AWS invoice,-8751.27,BNK66446
LED9999,2026-08-14,Vendor payment - URGENT,-420000.0,BNK99999
